subjectivity,polarity,analysis,Tweets,Clusters
0,0,Neutral,@PlayVALORANT But who is Reyna? #NewCharacter #Valorant,0
0.5,0.333333333,Positive,Quick Valorant wallpaper I made. Let me know what you think. #VALORANT https://t.co/S3laoAhB48,2
0,0,Neutral,"Some nutty Valorant plays!
#Valorant @PlayVALORANT https://t.co/EJuOeOk6Qb",0
0.44040404,0.256565657,Positive,I can’t wait to play the new character valorant is developing. Reyna looks super fun to play. #VALORANT,2
0.55,0.35,Positive,"Here's Episode 6 of a full match on #VALORANT with friends!

https://t.co/MJ67GlOmDG",2
0.486666667,0.07,Positive,"First three thoughts on Reyna in #VALORANT 

1: HOLY COW looks amazing and fun to play 
2: Seems like a selfish pick in team play 
3: Interested to see how strong she is",2
0.6875,-0.3125,Negative,@PlayVALORANT Does anyone know the time of day it will be released on the 2nd will it be 12am BST or will it be 12am CDT meaning 5am BST? #VALORANT #RiotGames,1
0,0,Neutral,"Temporary Profile picture until ours is fully completed!

#valorant
#operator https://t.co/Ysp12OSFGb",0
0,0,Neutral,CAN YOU RELEASE VALORANT NOW? I AM LAZY TO WAIT #VALORANT,0
0,0,Neutral,2 more days til Valorant launch. Feels like its been weeks since I played.. @PlayVALORANT #VALORANT,0
0,0,Neutral,"June 2nd can’t get here any faster.
#valorant #esports https://t.co/YKjC7aIDKs",0
0,0,Neutral,"Reyna Teased To Join Valorant as 11th Agent! #Valorant releases June 2.
Check out what her abilities might be here: https://t.co/8N8aXeNSbl",0
0,0,Neutral,I need #VALORANT,0
0.366666667,0.266666667,Positive,"Ok I’m selling my #Valorant account it has 

-70 (Plus 10% bonus from beta) worth of credits on it
-Closed Beta Rewards
-So when Beta ends you’ll have 8,140 Valorant Points
DMs are open https://t.co/LngEHj3OuW",2
0.333333333,0.25,Positive,"Are you hyped for #VALORANT on June 2nd?

Then get ready for the Valorant X Series, our first official tournament!

Friday, June 5th
$3,000 Prize Pool
$15/player Entry Fee

Register Now: https://t.co/DXsnPp4Ccr

Join us on Discord: https://t.co/2R4Hz4v2JJ",2
0.393939394,0.193181818,Positive,"We are incredibly excited to announce our first #VALORANT Player! This is the beginning of a new chapter... 

01/06-2020

@benxchow | #SPECTER https://t.co/S9Xo2QN207",2
0,0,Neutral,"2 more days to launch.
#VALORANT",0
0.595959596,-0.287878788,Negative,"Reyna’s (new agent) abilities: 

Duelist: 

C: casts a blinding orb, blinding anyone who sees it 
Q: health regeneration upon kills, up to 150 
E: temporary invincibility (cannot use weapons) 
X: temp increase in rate of fire, reload speed, and skills 

#Valorant #Reyna",1
0,0,Neutral,Let's go #VALORANT https://t.co/VDGF86pkR7,0
0,0,Neutral,"Let's go to @Valorant! 

#VALORANT #Twitch
https://t.co/KRw5tCVp49",0
0.536363636,-0.219805195,Negative,"After reading the replies on the new #Valorant agent, people are dumb as fuck.
The game is not dead. The game isn’t even online. June 2nd, fortnite will be so far down the twitch directory.",1
0.522222222,-0.055555556,Negative,"They finally joined in

SunSister announces their recruitment on VALORANT Division. 

afaik four Teams (Crest, Detonation, V3, SGK) have also announced that they  are doing #VALORANT : That's already half of the current LJL Teams https://t.co/nEI4YO8VTo",1
0,0,Neutral,"#VALORANT pro-player will be accepted from me, cya",0
0.4,-0.4,Negative,"Wondering what Reyna can do in #VALORANT?

Riot Games has explained each of her abilities in more detail: https://t.co/tAQYIjsRbH https://t.co/aWhimlcv4e",1
0,0,Neutral,"life without @PlayVALORANT is so bored...
#VALORANT",0
